TOWER,FLAT,OWNER,DATE,STATUS
"1","63","JOBCOB GAYJ","2024-12-02","Available"
"1","33","NVIUDC HJPR","2024-04-15","Sold"
"1","358","GQEUVS JXKJ","2024-12-25","Available"
"1","161","BZWEKF OTNS","2024-11-17","Available"
"2","455","DNNHNS CHRK","2024-09-16","Available"
"2","421","XSTWYS TJLV","2024-03-14","Available"
"2","257","JZUWJK QIFG","2024-10-02","Available"
"2","144","OJZEIW MFFV","2024-03-14","Available"
"2","340","AWLGQD CPFQ","2024-08-07","Available"
"2","167","JIZTDB XHEK","2024-06-18","Sold"
"1","103","FZPAVD AWUS","2024-04-16","Sold"
"2","454","MRGSAJ WFWT","2024-01-26","Available"
"1","100","ZMUHBM TARZ","2024-06-11","Available"
"2","178","YKQAQO GIUC","2024-11-04","Available"
"2","272","OZJXTG KHFE","2024-03-12","Sold"
"1","284","HQMQEX REOA","2024-04-12","Available"
"1","264","HERULC IMVZ","2024-09-18","Available"
"2","87","KDNQRL CKLM","2024-02-28","Sold"
"1","454","SIMHGZ LAUI","2024-05-11","Sold"
"1","172","UUCAAH FHXB","2024-07-26","Available"
"2","170","DAOHET CXTN","2024-12-14","Sold"
"2","274","YSLJKH ZOCH","2024-05-05","Available"
"2","351","LDRYFE CQPI","2024-05-15","Available"
"2","279","LJMKIH GMNT","2024-01-09","Available"
"2","224","ZAENHI JAHP","2024-04-05","Sold"
"2","245","WBRLSZ WYTY","2024-01-04","Sold"
"1","482","GKXSDU JHJD","2024-09-03","Sold"
"2","135","VQSOPW QYFM","2024-05-03","Sold"
"1","238","XJUUYT ZPJF","2024-01-17","Sold"
"1","39","GDCHRI YEIQ","2024-02-03","Available"
"2","149","OAQGXG EIOF","2024-11-03","Sold"
"2","253","MAXAFF OWUH","2024-07-28","Available"
"2","102","LEYNWV BIMH","2024-11-15","Available"
"1","224","ZVZIKW UHXF","2024-11-11","Sold"
"1","333","BACATP MYTM","2024-11-10","Sold"
"1","481","FSJJLR EPCN","2024-04-02","Sold"
"1","490","TQQCHU CWLJ","2024-07-21","Available"
"1","198","TXUQAO ZLNY","2024-12-25","Sold"
"1","30","RIIKQU XCUB","2024-05-25","Sold"
